Name,Code,Market,Marcap
인천도시가스,034590,KOSPI,999900000000
삼정펄프,009770,KOSPI,999900000000
KEC,092220,KOSPI,999900000000
KPX홀딩스,092230,KOSPI,999900000000
HDC현대EP,089470,KOSPI,999900000000
노루페인트,090350,KOSPI,999900000000
아모레퍼시픽,090430,KOSPI,999900000000
롯데관광개발,032350,KOSPI,999900000000
평화산업,090080,KOSPI,999900000000
우진플라임,049800,KOSPI,999900000000
신세계I&C,035510,KOSPI,999900000000
진도,088790,KOSPI,999900000000
맥쿼리인프라,088980,KOSPI,999900000000
롯데쇼핑,023530,KOSPI,999900000000
현대글로비스,086280,KOSPI,999900000000
티비에이치글로벌,084870,KOSPI,999900000000
하나금융지주,086790,KOSPI,999900000000
제일연마,001560,KOSPI,999900000000
현대리바트,079430,KOSPI,999900000000
대한제강,084010,KOSPI,999900000000
새론오토모티브,075180,KOSPI,999900000000
그린케미칼,083420,KOSPI,999900000000
대상홀딩스,084690,KOSPI,999900000000
코아스,071950,KOSPI,999900000000
이월드,084680,KOSPI,999900000000
동양고속,084670,KOSPI,999900000000
한미반도체,042700,KOSPI,999900000000
동일산업,004890,KOSPI,999900000000
삼호개발,010960,KOSPI,999900000000
금호타이어,073240,KOSPI,999900000000
CJ CGV,079160,KOSPI,999900000000
일진다이아,081000,KOSPI,999900000000
유니드,014830,KOSPI,999900000000
상신브레이크,041650,KOSPI,999900000000
인팩,023810,KOSPI,999900000000
GS,078930,KOSPI,999900000000
유니퀘스트,077500,KOSPI,999900000000
다스코,058730,KOSPI,999900000000
LG디스플레이,034220,KOSPI,999900000000
텔코웨어,078000,KOSPI,999900000000
STX엔진,077970,KOSPI,999900000000
NICE,034310,KOSPI,999900000000
대교,019680,KOSPI,999900000000
기업은행,024110,KOSPI,999900000000
이엔플러스,074610,KOSPI,999900000000
한솔홈데코,025750,KOSPI,999900000000
이수페타시스,007660,KOSPI,999900000000
강원랜드,035250,KOSPI,999900000000
YG PLUS,037270,KOSPI,999900000000
농심홀딩스,072710,KOSPI,999900000000
한국금융지주,071050,KOSPI,999900000000
유엔젤,072130,KOSPI,999900000000
SBS,034120,KOSPI,999900000000
엔씨소프트,036570,KOSPI,999900000000
하이스틸,071090,KOSPI,999900000000
DSR제강,069730,KOSPI,999900000000
태경케미컬,006890,KOSPI,999900000000
한농화성,011500,KOSPI,999900000000
현대백화점,069960,KOSPI,999900000000
대호에이엘,069460,KOSPI,999900000000
대웅제약,069620,KOSPI,999900000000
마니커,027740,KOSPI,999900000000
SNT홀딩스,036530,KOSPI,999900000000
티케이지휴켐스,069260,KOSPI,999900000000
SJG세종,033530,KOSPI,999900000000
포스코스틸리온,058430,KOSPI,999900000000
삼성출판사,068290,KOSPI,999900000000
세이브존I&C,067830,KOSPI,999900000000
교보증권,030610,KOSPI,999900000000
한샘,009240,KOSPI,999900000000
우신시스템,017370,KOSPI,999900000000
LG전자,066570,KOSPI,999900000000
콜마홀딩스,024720,KOSPI,999900000000
SNT모티브,064960,KOSPI,999900000000
광주신세계,037710,KOSPI,999900000000
일진디스플,020760,KOSPI,999900000000
종근당바이오,063160,KOSPI,999900000000
신한지주,055550,KOSPI,999900000000
코웨이,021240,KOSPI,999900000000
세아홀딩스,058650,KOSPI,999900000000
LG생활건강,051900,KOSPI,999900000000
LG화학,051910,KOSPI,999900000000
대우건설,047040,KOSPI,999900000000
포스코인터내셔널,047050,KOSPI,999900000000
한화오션,042660,KOSPI,999900000000
진양화학,051630,KOSPI,999900000000
두산에너빌리티,034020,KOSPI,999900000000
한국내화,010040,KOSPI,999900000000
한세예스24홀딩스,016450,KOSPI,999900000000
대성홀딩스,016710,KOSPI,999900000000
대원제약,003220,KOSPI,999900000000
한국가스공사,036460,KOSPI,999900000000
미래아이앤지,007120,KOSPI,999900000000
화천기공,000850,KOSPI,999900000000
팜스코,036580,KOSPI,999900000000
케이티앤지,033780,KOSPI,999900000000
HD한국조선해양,009540,KOSPI,999900000000
디씨엠,024090,KOSPI,999900000000
AK홀딩스,006840,KOSPI,999900000000
HS애드,035000,KOSPI,999900000000
대한유화,006650,KOSPI,999900000000
백산,035150,KOSPI,999900000000
체시스,033250,KOSPI,999900000000
자화전자,033240,KOSPI,999900000000
케이티,030200,KOSPI,999900000000
엑시큐어하이트론,019490,KOSPI,999900000000
제일기획,030000,KOSPI,999900000000
스틱인베스트먼트,026890,KOSPI,999900000000
케이씨,029460,KOSPI,999900000000
