Name,Code,Market,Marcap
삐아,451250,KOSDAQ,999900000000
하나33호스팩,475250,KOSDAQ,999900000000
신한제13호스팩,474930,KOSDAQ,999900000000
신한제12호스팩,474660,KOSDAQ,999900000000
아이엠비디엑스,461030,KOSDAQ,999900000000
하나32호스팩,475240,KOSDAQ,999900000000
엔젤로보틱스,455900,KOSDAQ,999900000000
제이투케이바이오,420570,KOSDAQ,999900000000
삼현,437730,KOSDAQ,999900000000
오상헬스케어,036220,KOSDAQ,999900000000
케이엔알시스템,199430,KOSDAQ,999900000000
비엔케이제2호스팩,473370,KOSDAQ,999900000000
하나31호스팩,469900,KOSDAQ,999900000000
SK증권제11호스팩,472230,KOSDAQ,999900000000
유안타제15호스팩,473050,KOSDAQ,999900000000
유진스팩10호,468760,KOSDAQ,999900000000
E8,418620,KOSDAQ,999900000000
코셈,360350,KOSDAQ,999900000000
케이웨더,068100,KOSDAQ,999900000000
사피엔반도체,452430,KOSDAQ,999900000000
에스피소프트,443670,KOSDAQ,999900000000
스튜디오삼익,415380,KOSDAQ,999900000000
신영스팩10호,472220,KOSDAQ,999900000000
폰드그룹,472850,KOSDAQ,999900000000
IBKS제24호스팩,469480,KOSDAQ,999900000000
레이저옵텍,199550,KOSDAQ,999900000000
이닉스,452400,KOSDAQ,999900000000
포스뱅크,105760,KOSDAQ,999900000000
현대힘스,460930,KOSDAQ,999900000000
HB인베스트먼트,440290,KOSDAQ,999900000000
드림인사이트,362990,KOSDAQ,999900000000
대신밸런스제17호스팩,471050,KOSDAQ,999900000000
우진엔텍,457550,KOSDAQ,999900000000
한빛레이저,452190,KOSDAQ,999900000000
IBKS제23호스팩,467930,KOSDAQ,999900000000
하나30호스팩,469880,KOSDAQ,999900000000
씨싸이트,109670,KOSDAQ,999900000000
블루엠텍,439580,KOSDAQ,999900000000
LS머트리얼즈,417200,KOSDAQ,999900000000
케이엔에스,432470,KOSDAQ,999900000000
교보15호스팩,465320,KOSDAQ,999900000000
와이바이오로직스,338840,KOSDAQ,999900000000
에이텀,355690,KOSDAQ,999900000000
엔에이치스팩30호,466910,KOSDAQ,999900000000
에이에스텍,453860,KOSDAQ,999900000000
그린리소스,402490,KOSDAQ,999900000000
제이엔비,452160,KOSDAQ,999900000000
한선엔지니어링,452280,KOSDAQ,999900000000
에코아이,448280,KOSDAQ,999900000000
스톰테크,352090,KOSDAQ,999900000000
캡스톤파트너스,452300,KOSDAQ,999900000000
에스와이스틸텍,365330,KOSDAQ,999900000000
에이직랜드,445090,KOSDAQ,999900000000
한국제13호스팩,464440,KOSDAQ,999900000000
메가터치,446540,KOSDAQ,999900000000
비아이매트릭스,413640,KOSDAQ,999900000000
컨텍,451760,KOSDAQ,999900000000
큐로셀,372320,KOSDAQ,999900000000
쏘닉스,088280,KOSDAQ,999900000000
KB제27호스팩,464680,KOSDAQ,999900000000
세니젠,188260,KOSDAQ,999900000000
파라택시스이더리움,290560,KOSDAQ,999900000000
유진테크놀로지,240600,KOSDAQ,999900000000
